job titles,company_name,location_names,salary,skills,skills2,quality
iOS mobile app development,RiMin Li,China,"35,467","Programming & Development
																					

iOS App DevelopmentCClean ProgrammingDesignObjective C","['C', 'Clean Programming', 'Design', 'Objective C', 'Order Processing', 'Photo and Image Editing', 'Programming', 'Scanning', 'Swift Programming']",100%
iOS developer,SynapseIndia,India,"49,091","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentAPI DevelopmentAppleCCocoa","['API Development', 'Apple', 'C', 'Cocoa', 'Flutter', 'Flutter Apps', 'Flutter Development', 'Flutter Ios Firebase', 'Geolocation', 'iBeacon', 'iOS', 'iOS App Development', 'iOS Framework', 'iPad', 'Ipad Application Development', 'iPhone', 'Iphone Application Development', 'Mobile', 'Swift', 'Swift Programming', 'Xcode', 'XMPP ']",99.5%
iOS App Development,Brain Technosys Pvt. Ltd,India,"24,240","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentAndroid DevelopmentAPI DevelopmentApp & Mobile ProgrammingApp Development","['Android Development', 'API Development', 'App & Mobile Programming', 'App Development', 'Apple', 'C', 'Content Writing', 'Data Management', 'Feature Writing', 'Geolocation', 'iOS', 'iOS Development', 'iPad', 'iPhone', 'Mobile', 'Mobile Application Design', 'Mobile Application Development', 'Mobile Development', 'Objective-C', 'Payment Gateway Integration', 'Swift Programming', 'Web Development']",100%
iPhone App Development,Vnnovate Solutions,India,"32,202","Programming & Development
																					

Apps & Mobile
iOS App Development3rd Party Software IntegrationApp & Mobile ProgrammingBrand DevelopmentConcept Development","['3rd Party Software Integration', 'App & Mobile Programming', 'Brand Development', 'Concept Development', 'Cross Platform Development', 'Design', 'Feature Writing', 'Google API', 'Google Maps Marketing', 'GPS', 'Hybrid Mobile Applications', 'Ideation', 'iOS', 'iPhone', 'Native App Development', 'Programming']",100%
iOS App Design & Development,Activecraft,India,"34,136","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp & Mobile ProgrammingApp DesignApplication DevelopmentCreative","['App & Mobile Programming', 'App Design', 'Application Development', 'Creative', 'Design', 'HTML5', 'iOS', 'iOS Development', 'iOS Programming', 'Iphone Application Development', 'Iphone Design', 'Iphone Development', 'Mobile', 'Objective-C', 'Process Design', 'ReactJS', 'Requirements Analysis', 'Swift', 'Swift Programming']",100%
iOS/Android/Wearable App Development,DJS Tech Group,Netherlands,"27,943","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentAnalyticsAndroid DevelopmentApp & Mobile ProgrammingApp Development","['Analytics', 'Android Development', 'App & Mobile Programming', 'App Development', 'Communication Skills', 'Database Development', 'Event Planning', 'Game Development', 'Management', 'Mobile App Marketing', 'Mobile Development', 'Responsive Web Design', 'Software Development']",97.8%
Mobile App Development,HuiNeng IT Ltd,China,"18,010","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp DevelopmentEditingGoogle CertifiedGoogle Play","['App Development', 'Editing', 'Google Certified', 'Google Play', 'Java', 'Management', 'Mobile App Development', 'Mobile Development', 'Objective C', 'Photo and Image Editing', 'Prototyping', 'Real Estate', 'Rxswift', 'Swift']",95.4%
"Beacon App Development for IOS, Android",Airo Global Software Inc,India,"18,065","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentAndroid DevelopmentApp & Mobile ProgrammingApp DevelopmentBeacons","['Android Development', 'App & Mobile Programming', 'App Development', 'Beacons', 'Design', 'iOS App Development', 'Location-based', 'Mobile App Marketing', 'Sales']",100%
iOS and Android App development,Websofttechs.com - Expert Gurus,India,"22,598","Programming & Development
																					

iOS App DevelopmentAndroidApp DevelopmentiOSKony","['Android', 'App Development', 'iOS', 'Kony', 'Mobile']",100%
iOS App Development,Infiglobal,Canada,"19,905","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp DevelopmentCreative DesigniPhoneMobile Development","['App Development', 'Creative Design', 'iOS App Development', 'iPhone', 'Mobile Development']",100%
